Country Name,Year,LifeExp,GDP,Health_Expenditure,CO2
Africa Eastern and Southern,2000,51.9644813247726,706.992061499618,45.0620047285074,0.886253682477178
Africa Western and Central,2000,50.221953875359,520.786583767401,20.3897782639955,0.525718638722687
Angola,2000,46.024,556.88424373456,12.99896717,0.988162665238182
Albania,2000,75.404,1126.68334010717,80.61695099,1.026213108529
Arab World,2000,67.2973312552373,2842.61927232181,115.009344671891,3.27169287663677
United Arab Emirates,2000,74.38,31855.5006047175,787.02111816,25.8691253683213
Argentina,2000,73.926,7666.51783423783,708.76953125,3.56803987960974
Armenia,2000,70.624,603.298025247115,26.12908936,1.12355188837196
Antigua and Barbuda,2000,74.606,11010.1974601342,512.56829834,4.3967756978216
Australia,2000,79.2341463414634,21853.781667691,1638.81494141,17.8387478097675
Austria,2000,78.1268292682927,24625.6007227434,2269.12646484,7.92978551259517
Azerbaijan,2000,64.891,655.119945170816,19.14171791,3.44034987451234
Burundi,2000,47.514,138.004617225366,8.42834568,0.0412197298554028
Belgium,2000,77.7219512195122,23098.8865077401,1849.91601563,11.4395805389587
Benin,2000,56.578,502.997964780144,15.90676403,0.202914451695858
Burkina Faso,2000,50.847,249.802067600678,7.54438114,0.0791053488007293
Bangladesh,2000,65.779,413.100185264402,8.56026173,0.167578314629207
Bulgaria,2000,71.6634146341463,1621.24301844691,94.49745178,5.31445360024244
Bahrain,2000,75.496,12738.7741181575,485.6864624,22.3208638230523
"Bahamas, The",2000,72.041,24849.6064784902,1030.96899414,6.86124290030583
Bosnia and Herzegovina,2000,74.496,1332.12236478772,113.31326294,3.34023233277902
Belarus,2000,68.9121951219512,1276.2880341,57.66816711,5.30481652088609
Belize,2000,68.564,4642.1470345998,132.7074585,1.87183348169347
Bolivia,2000,62.346,977.336055960911,43.84843826,0.955467087242873
Brazil,2000,69.737,3726.81142036099,312.53927612,1.78349556716035
Barbados,2000,74.089,11560.2459031879,600.80895996,4.68530966496257
Brunei Darussalam,2000,74.08,17971.5065800941,508.54840088,14.1348682043327
Bhutan,2000,62.01,722.852571406065,30.89350891,0.35762516455015
Botswana,2000,51.011,3351.6965168531,205.2371521,2.33354661447552
